,תאריך ביקור,יישוב,Date,Time,Hour,x,y
0,2019-07-16 09:22:00,אור עקיבא,2019-07-16,09:22:00,9,192712.0,712692.0
1,2019-07-16 09:50:00,אור עקיבא,2019-07-16,09:50:00,9,192712.0,712692.0
2,2019-07-18 08:37:00,ג'סר א-זרקא,2019-07-18,08:37:00,8,191963.0,715851.0
3,2019-07-18 08:55:00,פרדס חנה-כרכור,2019-07-18,08:55:00,8,197945.0,708805.0
4,2019-07-18 10:14:00,חדרה,2019-07-18,10:14:00,10,192540.0,704671.0
5,2019-07-18 10:59:00,ג'סר א-זרקא,2019-07-18,10:59:00,10,191963.0,715851.0
6,2019-07-18 11:23:00,חדרה,2019-07-18,11:23:00,11,192540.0,704671.0
7,2019-07-23 09:00:00,אור עקיבא,2019-07-23,09:00:00,9,192712.0,712692.0
8,2019-07-23 10:18:00,גאולי תימן,2019-07-23,10:18:00,10,190967.0,699857.0
9,2019-07-23 10:51:00,חדרה,2019-07-23,10:51:00,10,192540.0,704671.0
10,2019-07-25 10:21:00,ג'סר א-זרקא,2019-07-25,10:21:00,10,191963.0,715851.0
11,2019-07-30 09:27:00,חריש,2019-07-30,09:27:00,9,204728.0,707386.0
12,2019-07-30 10:33:00,עמיקם,2019-07-30,10:33:00,10,202218.0,718782.0
13,2019-07-30 10:50:00,חדרה,2019-07-30,10:50:00,10,192540.0,704671.0
14,2019-08-01 08:34:00,קיסריה,2019-08-01,08:34:00,8,191618.0,712309.0
15,2019-08-01 09:22:00,בנימינה-גבעת עדה,2019-08-01,09:22:00,9,196683.0,714176.0
16,2019-08-01 09:44:00,ג'ת,2019-08-01,09:44:00,9,203558.0,700670.0
17,2019-08-01 10:37:00,אור עקיבא,2019-08-01,10:37:00,10,192712.0,712692.0
18,2019-08-22 08:55:00,ג'סר א-זרקא,2019-08-22,08:55:00,8,191963.0,715851.0
19,2019-08-22 09:41:00,אור עקיבא,2019-08-22,09:41:00,9,192712.0,712692.0
20,2019-08-22 09:48:00,תלמי אלעזר,2019-08-22,09:48:00,9,198109.0,705718.0
21,2019-08-22 10:31:00,חדרה,2019-08-22,10:31:00,10,192540.0,704671.0
22,2019-08-22 10:51:00,ערערה,2019-08-22,10:51:00,10,208681.0,711765.0
23,2019-08-27 10:46:00,חדרה,2019-08-27,10:46:00,10,192540.0,704671.0
